granted_date,amount,duration,payments,loan_status
930705,96396,12,8033,-1
930711,165960,36,4610,1
930728,127080,60,2118,1
930803,105804,36,2939,1
930906,274740,60,4579,1
930913,87840,24,3660,1
930915,52788,12,4399,1
930924,174744,24,7281,-1
931013,154416,48,3217,1
931104,117024,24,4876,1
931110,21924,36,609,1
931122,79608,24,3317,1
931201,464520,60,7742,-1
931208,95400,36,2650,1
931208,93888,36,2608,1
931209,47016,12,3918,1
931213,259740,60,4329,1
931216,38148,12,3179,1
931221,86616,12,7218,1
931223,75624,24,3151,-1
940105,80952,24,3373,1
940105,80952,24,3373,1
940110,24516,12,2043,1
940120,253200,60,4220,1
940121,21072,24,878,1
940131,108144,36,3004,1
940206,78936,12,6578,1
940207,149040,48,3105,1
940217,49320,12,4110,-1
940223,197748,36,5493,1
940227,300660,60,5011,1
940301,182628,36,5073,1
940308,91632,12,7636,1
940311,51696,24,2154,1
940315,55368,24,2307,1
940316,91200,24,3800,1
940330,7656,24,319,1
940331,212400,36,5900,1
940406,167100,60,2785,1
940407,149340,60,2489,1
940418,65184,12,5432,1
940502,215388,36,5983,-1
940509,89040,60,1484,1
940510,193968,36,5388,1
940511,24312,12,2026,1
940517,272520,60,4542,1
940520,80340,12,6695,1
940521,97632,12,8136,1
940522,196080,48,4085,1
940526,76908,12,6409,-1
940526,63312,48,1319,1
940526,25944,24,1081,1
940531,104808,12,8734,1
940601,208320,48,4340,1
940603,151560,24,6315,1
940604,52128,24,2172,1
940604,300204,36,8339,1
940605,77640,12,6470,1
940606,87216,48,1817,-1
940607,87360,24,3640,1
940612,69360,48,1445,1
940614,288360,60,4806,1
940617,174744,24,7281,-1
940623,239460,60,3991,1
940625,91584,24,3816,1
940629,244560,60,4076,1
940705,4980,12,415,1
940705,111384,24,4641,1
940708,276660,36,7685,-1
940711,39576,12,3298,1
940711,173808,24,7242,1
940716,50460,60,841,1
940719,252060,60,4201,-1
940723,143904,24,5996,1
940724,208128,48,4336,-1
940728,131292,36,3647,1
940730,74736,36,2076,1
940730,299088,36,8308,-1
940803,189300,60,3155,1
940804,14628,12,1219,1
940805,120888,36,3358,1
940807,172080,48,3585,1
940810,323472,48,6739,1
940811,74688,12,6224,1
940823,45768,12,3814,1
940825,224604,36,6239,1
940827,79632,24,3318,1
940827,121896,24,5079,1
940902,82896,12,6908,1
940910,23628,12,1969,1
940911,209184,48,4358,1
940919,41904,12,3492,1
940926,87816,12,7318,1
940928,23052,12,1921,1
940928,189696,24,7904,-1
940929,230220,36,6395,-1
940930,71460,12,5955,1
940930,141240,24,5885,1
941002,11736,24,489,1
941003,192744,36,5354,1
941012,227880,36,6330,1
941025,17508,12,1459,1
941028,98184,24,4091,1
941030,170256,24,7094,1
941102,83016,12,6918,1
941103,61056,48,1272,1
941103,123696,48,2577,1
