amount,duration,payments,same_district,frequency,has_disponent,gender,region,nr_inhabitants,nr_municip_inhabitants_499,nr_municip_inhabitants_500_1999,nr_municip_inhabitants_2000_9999,nr_municip_inhabitants_10000,nr_cities,ratio_urban_inhabitants,average_salary,ratio_entrepeneurs,avg_crimes,avg_unemployment,criminality_growth,unemployment_growth,avg_amount_credit,avg_amount_withdrawal,avg_amount_total,min_amount,max_amount,credit_ratio,avg_balance,num_trans,min_balance,std_balance,negative_balance,last_balance,last_balance_negative,age_when_loan,days_between,loan_status,has_card
96396,12,8033,True,2,0,0,7,94812,15,13,8,2,10,0.818,9650.0,0.1,0.030528836012319115,3.525,-0.0019090410496561618,0.29000000000000004,5025.0,0.0,5025.0,1100,9900,1.0,12250.0000,4,1100,7214.741852623696,0,20100.0000,0,45,105,1,False
165960,36,4610,True,1,0,1,2,112709,48,20,7,3,10,0.735,8369.0,0.117,0.024274902625344916,2.05,-0.0020938877995546053,0.52,12401.6875,-9531.0,1435.34375,-54300,36574,0.5,50779.4375,32,700,26082.13899388035,0,52209.0000,0,24,148,0,False
47016,12,3918,False,0,0,0,2,112709,48,20,7,3,10,0.735,8369.0,0.117,0.024274902625344916,2.05,-0.0020938877995546053,0.52,13031.09090909091,-9589.444444444445,2851.85,-29000,47705,0.55,59947.4000,40,200,24036.71870992379,0,58773.0000,0,35,239,0,False
69360,48,1445,False,1,0,1,2,112709,48,20,7,3,10,0.735,8369.0,0.117,0.024274902625344916,2.05,-0.0020938877995546053,0.52,6234.482758620689,-3830.0,730.46875,-13700,17782,0.453125,32917.7344,64,1100,9128.07095455104,0,38665.0000,0,52,450,0,False
127080,60,2118,True,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,4459.714285714285,-5584.125,807.4090909090909,-14800,19065,0.6363636363636364,29245.7273,22,800,11129.324586146353,0,20273.0000,0,57,170,0,False
74736,36,2076,True,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,9482.09090909091,-6276.235294117647,-85.46428571428571,-20000,30918,0.39285714285714285,37923.1071,56,700,10296.685319069868,0,33244.0000,0,28,399,0,False
60000,60,1000,False,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,2850.324324324324,-1755.0714285714287,-162.55140186915887,-7000,11049,0.34579439252336447,24448.1028,107,16141,5064.474608900489,0,16886.0000,0,48,658,0,False
204000,60,3400,True,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,9459.136363636364,-5637.4,749.5961538461538,-16100,30604,0.4230769230769231,37416.1154,52,400,13156.582739119673,0,37993.0000,0,51,366,0,False
105804,36,2939,False,1,0,0,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,8556.5,-7472.4,1270.6363636363637,-15600,26448,0.5454545454545454,40090.3636,22,1000,14295.656738850488,0,34300.0000,0,53,185,0,False
117024,24,4876,True,1,0,1,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,5104.833333333333,-16300.0,-3457.1,-24000,29255,0.6,36951.7000,10,800,15139.1067903625,0,53194.0000,0,58,137,0,False
173016,36,4806,True,2,0,0,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,13182.575,-13389.414634146342,-267.44444444444446,-62700,49769,0.49382716049382713,61587.7901,81,16256,24327.292981247585,0,101132.0000,0,51,318,0,False
321180,60,5353,True,1,1,1,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,16259.266666666666,-9347.25,3043.0,-34000,48180,0.4838709677419355,40566.4516,31,19592,21220.857603050565,0,37184.0000,0,60,233,0,False
421008,48,8771,True,1,0,1,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,7264.588235294118,-6630.6,-1006.3571428571429,-16800,31540,0.40476190476190477,36181.0238,42,600,11935.651602074338,0,31168.0000,0,43,304,0,False
274740,60,4579,False,2,0,1,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,17439.909090909092,-14001.363636363636,1719.2727272727273,-32300,63366,0.5,54724.6818,22,600,25508.419101056104,0,41128.0000,0,15,204,0,False
93888,36,2608,True,0,0,0,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,4229.888888888889,-4560.0,1090.642857142857,-12900,15649,0.6428571428571429,38613.0000,14,600,15150.436316206495,0,46766.0000,0,43,156,0,False
4980,12,415,True,1,0,0,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,5326.294117647059,-1939.7058823529412,1693.2941176470588,-8100,15528,0.5,30704.5882,34,11152,7878.340460952745,0,22500.0000,0,41,242,0,False
288468,36,8013,True,1,0,0,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,6845.714285714285,-23300.0,4836.0,-23300,30950,0.9333333333333333,37005.2000,15,600,16677.286810509675,0,48753.0000,0,36,127,0,False
87840,24,3660,True,1,1,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,7734.384615384615,-18400.0,4249.8,-21600,32938,0.8666666666666667,47926.9333,15,500,20531.030867012552,0,65713.0000,0,13,124,0,False
197748,36,5493,False,1,1,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,9745.111111111111,-24700.0,1133.8333333333333,-25100,36216,0.75,42522.1667,12,300,20060.601888749225,0,48995.0000,0,23,163,0,False
61656,24,2569,True,2,0,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,13988.444444444445,-26200.0,6681.454545454545,-31400,47337,0.8181818181818182,44809.8182,11,400,24848.660105886018,0,59696.0000,0,42,167,1,False
44628,12,3719,True,2,0,1,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,20579.314285714285,-9897.493506493507,-373.49107142857144,-59000,71565,0.3125,47665.2411,112,900,22462.09356466926,0,32730.0000,0,52,636,0,False
262980,60,4383,True,1,0,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,10887.59090909091,-4247.916666666667,2990.804347826087,-22300,44022,0.4782608695652174,42679.8261,46,900,17442.217104914493,0,76081.0000,0,30,369,0,False
52788,12,4399,True,1,0,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,3913.529411764706,-1959.8,1160.40625,-5000,11427,0.53125,22240.3125,32,8618,6309.357155435389,0,21029.0000,0,20,244,0,False
87216,48,1817,True,1,0,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,2303.8823529411766,-4282.0,24.153846153846153,-12600,10904,0.6538461538461539,28873.0000,26,20452,6355.091326584597,0,21658.6667,0,30,192,1,False
21396,12,1783,True,1,1,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,4195.666666666667,-3583.65,-448.7014925373134,-14075,16048,0.40298507462686567,29732.1194,67,1000,7805.73442770712,0,24782.0000,0,26,440,0,False
44376,12,3698,True,1,0,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,17008.2,-13315.529411764706,898.71875,-54100,49412,0.46875,52888.7188,32,18021,25575.512519588898,0,68242.0000,0,34,164,0,False
174744,24,7281,True,1,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,14904.538461538461,-8597.0,2718.5555555555557,-52600,47436,0.48148148148148145,37863.8148,27,1000,29342.698709530778,0,58141.0000,0,45,163,1,False
49320,12,4110,True,0,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,15614.5625,-7819.620689655172,512.5333333333333,-62700,45628,0.35555555555555557,46276.1778,45,900,24182.221910861972,0,15674.0000,0,48,167,1,False
19044,36,529,True,1,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,4597.95,-4759.193548387097,-1089.7254901960785,-21200,24126,0.39215686274509803,40907.8627,51,600,9965.172214049833,0,50168.0000,0,22,410,0,False
15192,24,633,True,1,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,6724.90243902439,-2755.802197802198,188.96212121212122,-14000,21513,0.3106060606060606,29371.9773,132,14269,6879.055925873961,0,17352.0000,0,23,685,0,False
154416,48,3217,True,2,0,0,5,70699,60,13,2,1,4,0.653,8968.0,0.131,0.025813660730703406,3.09,0.002404560177654564,0.52,8987.285714285714,-7983.083333333333,1154.8076923076924,-19200,29103,0.5384615384615384,44333.2308,26,8897,19730.644019095882,0,56018.0000,0,24,176,0,False
21924,36,609,True,1,1,1,6,157042,49,70,18,0,9,0.33899999999999997,8743.0,0.111,0.024047706982845352,2.1550000000000002,0.001496414971790986,0.5500000000000003,7362.8421052631575,-4585.952380952381,1089.725,-17200,21740,0.475,34781.6000,40,1100,10382.650872489165,0,49083.0000,0,33,297,0,False
