amount,payments,same_district,frequency,has_disponent,gender,region,nr_inhabitants,nr_municip_inhabitants_499,nr_municip_inhabitants_500_1999,nr_municip_inhabitants_2000_9999,nr_municip_inhabitants_10000,nr_cities,ratio_urban_inhabitants,average_salary,ratio_entrepeneurs,avg_crimes,avg_unemployment,criminality_growth,unemployment_growth,avg_amount_credit,avg_amount_withdrawal,avg_amount_total,min_amount,max_amount,credit_ratio,avg_balance,num_trans,min_balance,std_balance,negative_balance,last_balance,last_balance_negative,cash_credit_ratio,rem_ratio,card_withdrawal_ratio,cash_withdrawal_ratio,interest_ratio,coll_ratio,age_when_loan,days_between,loan_status,has_card
96396,8033,True,2,0,0,7,94812,15,13,8,2,10,0.818,9650.0,0.1,0.030528836012319115,3.525,-0.0019090410496561618,0.29000000000000004,5025.0,0.0,5025.0,1100.0,9900.0,1.0,12250.0,4,1100.0,7214.741852623696,0,20100.0,0,1.0,0.0,0.0,0.0,0.0,0.0,45,105,1,False
165960,4610,True,1,0,1,2,112709,48,20,7,3,10,0.735,8369.0,0.117,0.024274902625344916,2.05,-0.0020938877995546053,0.52,13523.158823529413,-8884.24,1411.0513513513515,-54300.0,36574.0,0.4594594594594595,52083.859259528086,37,700.0,28725.82235793661,0,52208.8984375,0,0.32432432432432434,0.21621621621621623,0.0,0.32432432432432434,0.13513513513513514,0.0,24,148,0,False
47016,3918,False,0,0,0,2,112709,48,20,7,3,10,0.735,8369.0,0.117,0.024274902625344916,2.05,-0.0020938877995546053,0.52,13031.063636363637,-11395.5,1399.3666666666668,-51800.0,47705.0,0.5238095238095238,60382.08589099703,42,200.0,23602.223371934553,0,58773.19921875,0,0.3333333333333333,0.09523809523809523,0.0,0.38095238095238093,0.19047619047619047,0.0,35,239,0,False
69360,1445,False,1,0,1,2,112709,48,20,7,3,10,0.735,8369.0,0.117,0.024274902625344916,2.05,-0.0020938877995546053,0.52,6597.1322580645165,-3528.6382978723404,495.70641025641027,-13700.0,17782.0,0.3974358974358974,33857.10632011218,78,1100.0,9536.527140739734,0,38665.0,0,0.21794871794871795,0.0,0.0,0.6025641025641025,0.1794871794871795,0.0,52,450,0,False
127080,2118,True,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,5009.733333333334,-6097.0,844.7083333333334,-14800.0,19065.0,0.625,30060.954182942707,24,800.0,11277.6270704649,0,20272.80078125,0,0.08333333333333333,0.125,0.0,0.25,0.3333333333333333,0.20833333333333334,57,170,0,False
74736,2076,True,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,11194.334615384616,-6288.019512195122,496.17761194029845,-20000.0,30918.0,0.3880597014925373,37912.998221781716,67,700.0,10526.243538135011,0,33243.69921875,0,0.208955223880597,0.11940298507462686,0.0,0.4925373134328358,0.1791044776119403,0.0,28,399,0,False
60000,1000,False,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,3840.34375,-1881.5528089887641,123.19927007299269,-7000.0,11049.0,0.35036496350364965,24643.283823277827,137,400.0,5832.525002334513,0,16885.8994140625,0,0.19708029197080293,0.24817518248175183,0.0,0.40145985401459855,0.15328467153284672,0.0,48,658,0,False
204000,3400,True,1,0,1,2,77917,85,19,6,1,5,0.535,8390.0,0.132,0.026964590525815933,2.585,0.0005390351271224508,0.6100000000000003,10772.44,-5782.955,584.5046153846155,-16100.0,30604.0,0.38461538461538464,37809.39825721154,65,400.0,12559.045210600705,0,41535.19921875,0,0.03076923076923077,0.12307692307692308,0.0,0.49230769230769234,0.16923076923076924,0.18461538461538463,51,366,0,False
105804,2939,False,1,0,0,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,9254.6,-7168.099999999999,1371.704,-15600.0,26448.0,0.52,41297.47984375,25,1000.0,13865.3468316294,0,34300.0,0,0.08,0.08,0.0,0.4,0.2,0.24,53,185,0,False
117024,4876,True,1,0,1,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,13154.833333333334,-16300.0,4091.8076923076924,-24000.0,29255.0,0.6923076923076923,44131.169921875,13,800.0,19065.737005753977,0,53193.5,0,0.07692307692307693,0.0,0.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,58,137,0,False
