loan_status,granted_date,amount,duration,payments
1,930705,96396,12,8033
0,930711,165960,36,4610
0,930728,127080,60,2118
0,930803,105804,36,2939
0,930906,274740,60,4579
0,930913,87840,24,3660
0,930915,52788,12,4399
1,930924,174744,24,7281
0,931013,154416,48,3217
0,931104,117024,24,4876
0,931110,21924,36,609
0,931122,79608,24,3317
1,931201,464520,60,7742
0,931208,95400,36,2650
0,931208,93888,36,2608
0,931209,47016,12,3918
0,931213,259740,60,4329
0,931216,38148,12,3179
0,931221,86616,12,7218
1,931223,75624,24,3151
0,940105,80952,24,3373
0,940105,80952,24,3373
0,940110,24516,12,2043
0,940120,253200,60,4220
0,940121,21072,24,878
0,940131,108144,36,3004
0,940206,78936,12,6578
0,940207,149040,48,3105
1,940217,49320,12,4110
0,940223,197748,36,5493
0,940227,300660,60,5011
0,940301,182628,36,5073
0,940308,91632,12,7636
0,940311,51696,24,2154
0,940315,55368,24,2307
0,940316,91200,24,3800
0,940330,7656,24,319
0,940331,212400,36,5900
0,940406,167100,60,2785
0,940407,149340,60,2489
0,940418,65184,12,5432
1,940502,215388,36,5983
0,940509,89040,60,1484
0,940510,193968,36,5388
0,940511,24312,12,2026
0,940517,272520,60,4542
0,940520,80340,12,6695
0,940521,97632,12,8136
0,940522,196080,48,4085
1,940526,76908,12,6409
0,940526,63312,48,1319
0,940526,25944,24,1081
0,940531,104808,12,8734
0,940601,208320,48,4340
0,940603,151560,24,6315
0,940604,52128,24,2172
0,940604,300204,36,8339
0,940605,77640,12,6470
1,940606,87216,48,1817
0,940607,87360,24,3640
0,940612,69360,48,1445
0,940614,288360,60,4806
1,940617,174744,24,7281
0,940623,239460,60,3991
0,940625,91584,24,3816
0,940629,244560,60,4076
0,940705,4980,12,415
0,940705,111384,24,4641
1,940708,276660,36,7685
0,940711,39576,12,3298
0,940711,173808,24,7242
0,940716,50460,60,841
1,940719,252060,60,4201
0,940723,143904,24,5996
1,940724,208128,48,4336
0,940728,131292,36,3647
0,940730,74736,36,2076
1,940730,299088,36,8308
0,940803,189300,60,3155
0,940804,14628,12,1219
0,940805,120888,36,3358
0,940807,172080,48,3585
0,940810,323472,48,6739
0,940811,74688,12,6224
0,940823,45768,12,3814
0,940825,224604,36,6239
0,940827,79632,24,3318
0,940827,121896,24,5079
0,940902,82896,12,6908
0,940910,23628,12,1969
0,940911,209184,48,4358
0,940919,41904,12,3492
0,940926,87816,12,7318
0,940928,23052,12,1921
1,940928,189696,24,7904
1,940929,230220,36,6395
0,940930,71460,12,5955
0,940930,141240,24,5885
0,941002,11736,24,489
0,941003,192744,36,5354
0,941012,227880,36,6330
0,941025,17508,12,1459
0,941028,98184,24,4091
0,941030,170256,24,7094
0,941102,83016,12,6918
0,941103,61056,48,1272
0,941103,123696,48,2577
0,941104,59760,24,2490
0,941106,48672,36,1352
