Id,Predicted
5895,0.02
5172,0.21
6207,0.09
7122,0.97
7067,0.02
6173,0.2
6705,0.35
5889,0.1
5036,0.46
6142,0.07
6938,0.08
5932,0.41
5398,0.04
6855,0.07
6632,0.1
5358,0.45
5674,0.18
5384,0.1
5589,0.6
5042,0.08
6095,0.03
7049,0.05
6075,0.77
6878,0.23
5790,0.5
5532,0.26
6118,0.21
6442,0.31
6554,0.07
5973,0.11
5043,0.03
7195,0.61
6746,0.47
6793,0.15
5940,0.24
5584,0.02
5669,0.08
7286,0.47
5992,0.04
6278,0.05
6196,0.34
6052,0.19
5354,0.12
6076,0.05
5134,0.17
6147,0.43
6237,0.8
5245,0.11
5582,0.01
6508,0.19
4968,0.15
6571,0.02
5419,0.81
6377,0.04
6562,0.09
6913,0.24
6014,0.02
5556,0.61
6346,0.22
6310,0.36
6763,0.68
7051,0.11
5117,0.21
6338,0.06
5719,0.35
7181,0.19
7264,0.24
5343,0.07
7277,0.05
6468,0.22
7037,0.19
5782,0.59
5930,0.48
6791,0.21
5332,0.05
5491,0.25
7129,0.03
6948,0.45
6962,0.17
6766,0.16
7172,0.14
5501,0.18
6234,0.01
6450,0.16
5823,0.07
5334,0.29
6821,0.24
5760,0.02
6168,0.07
5644,0.07
6255,0.66
6660,0.13
5991,1.0
5656,0.5
6322,0.23
6877,0.18
4986,0.15
5638,0.53
5206,0.38
5369,0.07
5643,0.31
5862,0.11
6934,0.28
7119,0.09
5124,0.14
4989,0.83
6028,0.21
5486,0.33
5338,0.9
6239,0.71
5287,0.08
6320,0.29
5815,0.18
5154,0.38
6490,0.33
5942,0.06
7085,0.59
6959,0.83
5086,0.38
6758,0.21
5377,0.22
6612,0.19
5447,0.79
6727,0.33
7147,0.49
5158,0.14
5147,0.24
5015,0.38
5346,0.42
6415,0.08
4990,0.02
6641,0.3
7187,0.05
5799,0.21
7110,0.17
5313,0.07
7087,0.06
5616,0.17
6357,0.06
5865,0.16
5027,0.14
5420,0.35
6235,0.07
5977,0.23
6851,0.97
5531,0.16
6824,0.88
6386,0.25
5207,0.15
6887,0.14
5051,0.09
6502,0.04
4962,0.04
6552,0.05
6044,0.08
5906,0.18
5561,0.27
7115,0.19
6605,0.36
7250,0.07
6875,0.21
5773,0.57
5365,0.63
6010,0.34
6399,0.05
6748,0.83
6088,0.59
7255,0.52
6861,0.48
5318,0.26
5682,0.04
7201,0.03
6254,0.59
7072,0.06
6312,0.08
5241,0.37
5953,0.18
5072,0.19
6970,0.23
5774,0.42
5382,0.02
5469,0.46
5772,0.1
5527,0.03
5169,0.01
5526,0.02
5931,0.6
5731,0.8
5651,0.02
5569,0.43
6402,0.03
6753,0.56
5585,0.23
7046,0.17
6486,0.22
5893,0.53
5868,0.04
5281,0.23
7100,0.06
6866,0.45
6436,0.42
5784,0.35
5174,0.18
6350,0.14
5063,0.85
6249,0.17
5808,0.02
6984,0.11
6922,0.64
5367,0.64
6625,0.74
5963,0.28
6534,0.6
6730,0.3
6054,0.2
7295,0.55
5878,0.21
6655,0.35
5956,0.4
6926,0.02
5140,0.38
5520,0.03
5110,0.08
5681,0.04
5698,0.11
5210,0.15
6059,0.25
6569,0.14
5428,0.09
7230,0.0
7221,0.35
5005,0.01
6464,0.19
5034,0.05
5304,0.04
6871,0.17
6956,0.6
6495,0.31
5363,0.91
5634,0.01
5850,0.27
6857,0.01
7035,0.1
7253,0.08
6544,0.04
7202,0.02
5683,0.02
7167,0.07
6055,0.62
7199,0.01
5758,0.54
5718,0.04
5229,0.16
5236,0.09
5360,0.02
6755,0.7
6819,0.31
5041,0.15
6104,0.07
6643,0.02
6083,0.49
5293,0.06
7088,0.1
7001,0.16
5779,0.33
6607,0.0
5103,0.0
6215,0.13
7096,0.03
5039,0.18
6136,0.37
6078,0.02
6037,0.04
6113,0.17
5976,0.47
7139,0.0
5046,0.18
5451,0.32
6856,0.56
5253,0.84
6695,0.09
6621,0.02
6435,0.09
5389,0.22
6872,0.62
6908,0.17
6942,0.01
6665,0.13
6541,0.07
6688,0.26
5368,0.05
6923,0.05
6313,0.15
5270,0.06
5446,0.32
5817,0.91
7209,0.7
6568,0.36
6682,0.85
5699,0.21
7292,0.06
5214,0.47
6437,0.46
5320,0.35
7164,0.23
5221,0.13
5856,0.73
6353,0.13
6677,0.46
6242,0.2
5061,0.35
6868,0.47
6097,0.04
7050,0.14
7171,0.21
7200,0.18
6969,0.03
7219,0.04
7242,0.12
6852,0.1
5830,0.2
6790,0.21
5265,0.23
6007,0.1
7279,0.15
5463,0.14
6355,0.49
6675,0.05
5620,0.14
4988,0.64
5765,0.15
7091,0.09
5933,0.16
6470,0.24
5841,0.06
6574,0.28
5525,0.01
5435,0.08
7168,0.08
5909,0.19
6859,0.55
6539,0.13
5226,0.63
5260,0.29
6553,0.09
6633,0.11
7151,0.11
5665,0.06
6932,0.02
7294,0.05
6321,0.24
6469,0.13
5614,0.19
4967,0.91
